# SentiWordNet users' feedback
# Release: 13 May 2013
# More information and contact: http://sentiwordnet.isti.cnr.it/
# License: http://creativecommons.org/licenses/by-sa/4.0/
#
# count	synsetId	synsetPOS	swnPositivity	swnNegativity	feedbackPositivity	feedbackNegativity	date	IPanon	IPcountry	list(word#sense)
0	1123148	a	0.75	0	0.875	0	2010-06-04	IP0	IN	good#1
1	1586752	a	1	0	1	0	2010-06-04	IP0	IN	good#6
2	6201908	n	0	0.875	0	0.875	2010-06-04	IP1	xx	prejudice#1 preconception#2 bias#1
3	2565583	a	0.5	0	0	0.375	2010-06-08	IP2	xx	happy#3 glad#2
4	2565583	a	0.5	0	0.5	0	2010-06-08	IP3	IT	happy#3 glad#2
5	2579447	v	0	0.625	0	0.625	2010-06-08	IP4	ES	vitiate#1 subvert#2 profane#1 pervert#1 misdirect#1 deprave#1 demoralize#1 demoralise#1 debauch#1 debase#1 corrupt#1
6	477941	v	0	0.375	0	0.375	2010-06-08	IP3	IT	vitiate#2 spoil#8 mar#1 impair#2 deflower#2
7	2568065	v	0	0.25	0	0.25	2010-06-08	IP3	IT	violate#4 profane#2 outrage#2 desecrate#1
8	2012748	a	0	0.375	0	0.375	2010-06-08	IP3	IT	sacrilegious#1 profane#4 blasphemous#1
9	2056880	a	0	0.125	0	0.125	2010-06-08	IP3	IT	secular#3 profane#2
10	1813884	v	0.5	0	0.5	0	2010-06-08	IP3	IT	rejoice#1 joy#1
11	669942	a	0.375	0.375	0.375	0.375	2010-06-09	IP3	IT	infernal#3 goddamned#1 goddamn#2 goddam#1 deuced#1 darned#1 damned#1 damn#2 blessed#3 blasted#1 blamed#1 blame#1
12	7237758	n	0	0.5	0	0.5	2010-06-09	IP3	IT	inculpation#1 incrimination#1 blame#1
13	70965	n	0	0.625	0	0.625	2010-06-09	IP3	IT	mistake#1 fault#1 error#1
14	842538	v	0	0.25	0	0.25	2010-06-09	IP3	IT	fault#1 blame#1
15	8387035	n	0.25	0	0.25	0	2010-06-09	IP3	IT	pick#3 cream#1
16	842772	v	0	0.375	0	0.375	2010-06-09	IP3	IT	pick#3 find_fault#1 blame#2
17	1647131	v	0	0.25	0	0.25	2010-06-09	IP3	IT	pick#4
18	177714	v	0	0	0	0	2010-06-09	IP3	IT	pick#6 clean#2
19	1471043	v	0	0.125	0	0.125	2010-06-10	IP5	IT	snatch#3 nobble#3 kidnap#1 abduct#1
20	89408	r	0.625	0	0.625	0	2010-06-21	IP6	xx	highly#1 extremely#1
21	1083157	a	0	0	0	0	2010-06-24	IP7	IT	full#1
22	515380	a	0	0	0	0	2010-06-24	IP7	IT	total#1 full#2 entire#1
23	522885	a	0	0	0	0	2010-06-24	IP7	IT	total#2 full#3
24	1456710	a	0	0	0	0	2010-06-24	IP7	IT	full#5
25	10466	r	0	0	0	0	2010-06-24	IP7	IT	to_the_full#1 fully#1 full#1
26	515380	a	0	0	0	0	2010-06-24	IP7	IT	total#1 full#2 entire#1
27	522885	a	0	0	0	0	2010-06-24	IP7	IT	total#2 full#3
28	2645007	v	0	0	0	0	2010-06-24	IP7	IT	total#1 number#1 come#14 amount#2 add_up#3
29	515380	a	0	0	0	0	2010-06-24	IP7	IT	total#1 full#2 entire#1
30	515870	a	0.5	0	0.5	0	2010-06-24	IP7	IT	integral#2 intact#1 entire#2
31	2244890	a	0	0	0	0	2010-06-24	IP7	IT	entire#3
32	2137394	a	0	0	0	0	2010-06-24	IP7	IT	intact#3 entire#4
33	515870	a	0.5	0	0.5	0	2010-06-24	IP7	IT	integral#2 intact#1 entire#2
34	2702332	a	0.75	0	0.75	0	2010-06-24	IP7	IT	constitutional#1
35	941940	a	0.25	0.25	0.25	0.25	2010-06-24	IP7	IT	underlying#1 inherent#2 implicit_in#1
36	2558767	a	0.375	0	0.375	0	2010-06-24	IP7	IT	organic#4
37	2550868	v	0.5	0	0.5	0	2010-06-25	IP8	xx	save#1 salve#1 salvage#1 relieve#5
38	7295955	n	0	1	0.125	0.375	2010-06-29	IP9	NO	worst#1
39	1125429	a	0	0.625	0	0.125	2010-07-01	IP10	IT	bad#1
40	1125429	a	0	0.625	0	0.625	2010-07-05	IP3	IT	bad#1
41	4852534	n	0	0.5	0	0.5	2010-07-05	IP3	IT	worst#2
42	127672	n	0	0.875	0	0.875	2010-07-05	IP3	IT	worst#3
43	17241	r	0	0.875	0	0.875	2010-07-05	IP3	IT	worst#1
44	1102997	v	0.25	0.125	0.25	0.125	2010-07-05	IP3	IT	worst#1 whip#2 rack_up#3 pip#3 mop_up#2
45	2221010	v	0	0	0	0	2010-07-08	IP11	IT	alienate#2 alien#1
46	1549964	a	0	0.5	0	0.5	2010-07-10	IP12	xx	shocking#2 shameful#2 scandalous#1 disgraceful#1
47	715140	a	0.625	0.25	0.625	0.25	2010-07-12	IP13	SG	democratic#1
48	952182	v	0	0	0.25	0.375	2010-07-18	IP14	IQ	voice#2 vocalize#1 vocalise#4 sound#5
49	194924	a	0	0.75	0	0.75	2010-08-05	IP15	GB	shuddery#1 shivery#2 scary#1 scarey#1 chilling#1
50	13932948	n	0.375	0.25	0.375	0.25	2010-08-14	IP16	xx	challenge#1
51	7452074	n	0	0	1	0	2010-08-14	IP16	xx	wedding_ceremony#1 wedding#1 nuptials#1 hymeneals#1
52	14857497	n	0	0.125	0	0.875	2010-08-14	IP16	xx	trash#1 scrap#2 rubbish#1
53	71142	a	0.5	0.5	0.625	0.25	2010-08-25	IP17	GB	impressed#1
54	11093	r	0.375	0	0.75	0	2010-08-30	IP18	BR	well#1 good#1
55	71142	a	0.5	0.5	0.5	0.5	2010-09-01	IP3	IT	impressed#1
56	14857497	n	0	0.125	0	0.125	2010-09-01	IP3	IT	trash#1 scrap#2 rubbish#1
57	646117	a	0.25	0.375	0.25	0.375	2010-09-09	IP19	VN	tall#4 marvelous#2 marvellous#3 improbable#3
